Date,Screen Name,Full Name,Tweet Text,Tweet ID,App,Followers,Follows,Retweets,Favorites,Verified,User Since,Location,Bio,Is Retweeted,Reply to User ID,Latitude,Longitude,Profile Image,Google Maps
10/11/2016 03:03:34,HH_Technology,Technology Jobs | HH,#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/ZGRAJhtvLi,785677192940298240,hh_technology,2372,1932,0,0,No,05/03/2012 07:43:05,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/543263084735787010/32MyAWdQ_normal.png"", ""View"")",
10/11/2016 03:03:33,HH_Technology,Technology Jobs | HH,#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/q03Njl8LUQ,785677186669748224,hh_technology,2372,1932,0,0,No,05/03/2012 07:43:05,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/543263084735787010/32MyAWdQ_normal.png"", ""View"")",
10/11/2016 03:03:31,HH_Technology,Technology Jobs | HH,#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/DEILJmyLe9,785677179908567040,hh_technology,2372,1932,0,0,No,05/03/2012 07:43:05,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/543263084735787010/32MyAWdQ_normal.png"", ""View"")",
10/11/2016 03:03:29,HH_Technology,Technology Jobs | HH,#Hiring for Windows Mobile Architect Professionals #TechJobs #symbian #blackberry #mds #bes #career | Apply Now https://t.co/F2crOwm60M,785677173034135552,hh_technology,2372,1932,0,0,No,05/03/2012 07:43:05,,,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/543263084735787010/32MyAWdQ_normal.png"", ""View"")",
10/11/2016 02:03:59,carlcuare,Carl Philip Cuare,"""We are so insignificant. We are only here for a blink."" - @senmiriam #MDS #Madam #Miriam… https://t.co/qryKo86rwK",785662198886563840,Instagram,217,131,0,0,No,07/26/2009 17:05:20,Philippines,Perfectly Imperfect.,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/780226131588898816/-f9dn0_6_normal.jpg"", ""View"")",
10/11/2016 00:16:09,RobInSin6172,Matt Dubz,https://t.co/pJ8LpLiAsi #soundcloud #listen #mattdubz #mds #ct #rap #hiphop #future #desiigner type #song #follow #rt #retweet #folloback,785635061991370752,Twitter for iPhone,306,1098,0,2,No,12/05/2010 23:25:33,"86o,I'm $o ¢ţ ┌∩┐(»_«)┌∩┐",names Matt Dubz (Tw3nty to most) I'm am #MDS.... #CTborn est. since '89...music is my business rapping is my passion,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/3401079431/999be7c5f74d111349f51db82791ba7d_normal.jpeg"", ""View"")",
10/10/2016 22:37:33,AlexArtAndros,Alexandr Karaul'nyh,"#ВКС: #ПВРО #ПВО, #ПРО #Россия: #ЗРК #С400 #ЗРС (#С300ПМ3) #40Р6 «#Триумф» / «#Ворчун»
#ASF: #AAMD #CAD #MDS... https://t.co/UFBpJJwB1x",785610245091364864,Facebook,753,1457,0,0,No,10/01/2011 20:45:59,,#Develop #IT #Web #Design #WebSite #Builder #3D #Designer #AutoCAD #3DMax #4D #Cinema #CryEngine #Lumberyard #3DUnity,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/768011937774964737/19KBvP7Z_normal.jpg"", ""View"")",
10/10/2016 22:31:04,oncologytube,Oncology Tube,Genetic Basis of #MDS https://t.co/WVNw6x9IBw @MassGeneralNews @harvardmed @ImedexCME #MyelodysplasticSyndromes… https://t.co/yD0D8mhKnd,785608613977001984,Hootsuite,9523,1233,0,1,No,09/30/2009 23:55:07,"Los Angeles, CA",OncologyTube shares the highest quality scientific oncology videos. Watch and even post cancer news and research for both patients and healthcare professionals.,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/774339957087346688/z5zor-v9_normal.jpg"", ""View"")",
10/10/2016 21:26:23,DNGPlacement,DNG Placement Svcs,"Job Available: MDS Coordinator with a Subacute/Skilled Nursing Facility  in Brooklyn, NY https://t.co/emYizSwSG4 #MDS",785592337439260672,Bullhorn Reach,99,152,0,0,No,08/04/2014 19:34:46,Long Beach NY,"DNG Placement Svcs is a focused, discreet healthcare & medical recruitment firm in NE USA ~ A proud member of the Better Business Bureau",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/705860251422162944/Nnt0fYwM_normal.jpg"", ""View"")",
10/10/2016 21:10:56,MMoserHHI,Mary Moser,RT @Harmonyhlthcare: Need the answers to the Top 10 Questions about #MDS #SectionGG ? Find them here: https://t.co/ginuD3KLZW https://t.co/…,785588448933453824,Twitter Web Client,3227,3771,5,0,No,04/18/2014 17:16:18,Harmony Healthcare Int.,"Mother, Artist, Director of Education & Training, passionate advocate for making holistic therapies a norm in health care from pediatrics to geriatrics.",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/730059215100727296/eR1yJAoL_normal.jpg"", ""View"")",
10/10/2016 20:48:57,AlexArtAndros,Alexandr Karaul'nyh,"#ВКС #ПВО #ПРО #Россия ""#ИскандерМ""
#ASF #CAD #MDS #Russia ""#IskanderM"" https://t.co/HJCJsCV4rA",785582917925740544,Facebook,753,1457,0,0,No,10/01/2011 20:45:59,,#Develop #IT #Web #Design #WebSite #Builder #3D #Designer #AutoCAD #3DMax #4D #Cinema #CryEngine #Lumberyard #3DUnity,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/768011937774964737/19KBvP7Z_normal.jpg"", ""View"")",
10/10/2016 20:41:46,mattos_silva,Nigga',Sabem como é né? Kkk #mds https://t.co/PdOiQI0DIh,785581110541426688,Instagram,121,80,0,0,No,03/11/2011 01:42:33,swag... ,"desvirtuando conceitos, quebrando barreiras, vencendo desafios",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/775753796655906816/FM5I_1dL_normal.jpg"", ""View"")",
10/10/2016 20:14:59,Tanyamoranfava1,TANYA,RT @LinfomasAr: Mayoría de los pacientes (86 %) con #MDS son más de 60 años y menos de 10% de los pacientes son menor de 50 #MIELODISPLASIA…,785574368927768576,Twitter for Android,765,488,2,0,No,03/24/2015 13:52:09,"Mendoza, Argentina","Sumate a los Donantes Voluntarios,Niños y Adultos con Leucemia esperan todos los dias que aparezca su Donante compatible Sangre=médula  Aprende #RCP cc @yanquee",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/721838424462868482/bUtugp-C_normal.jpg"", ""View"")",
10/10/2016 20:02:21,MediComOncology,MediCom Oncology,Don't miss the chance to have YOUR questions about #MDS treatment answered! https://t.co/1xRKvsMkEB,785571188105969665,Hootsuite,40,61,0,0,No,03/02/2016 17:53:35,"Pennsylvania, USA","A dynamic network of websites that provide oncology HCPs w/ clinically relevant education, tools & resources across solid tumors & hematologic malignancies",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/705377654262861824/CIyL6HQp_normal.jpg"", ""View"")",
10/10/2016 19:49:08,DNGPlacement,DNG Placement Svcs,"Apply Today: MDS Coordinator with a Subacute/Skilled Nursing Facility  in Brooklyn, NY https://t.co/JPy5FVAb6z #MDS",785567864908644352,Bullhorn Reach,99,152,0,0,No,08/04/2014 19:34:46,Long Beach NY,"DNG Placement Svcs is a focused, discreet healthcare & medical recruitment firm in NE USA ~ A proud member of the Better Business Bureau",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/705860251422162944/Nnt0fYwM_normal.jpg"", ""View"")",
10/10/2016 19:47:18,VahabzadehMD,Arshya Vahabzadeh MD,RT @dickthewhite: Important observation that tech will bring positives and unintuitive solutions to negatives. #patients &amp; #MDs with tools…,785567403019120641,Twitter for iPhone,7145,2524,1,0,Yes,01/18/2012 08:03:18,Boston & San Francisco,"Psychiatrist & Emerging/Immersive Tech Expert. Passionate= IMPACT🌎 + SCIENCE🔬 .Faculty @harvardmed @exponentialmed, Dir @brainpowerasd, 📧vahab1789@gmail.com",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/762087415263719424/wGKCVynY_normal.jpg"", ""View"")",
10/10/2016 19:42:58,dickthewhite,Richard LeBlanc,Important observation that tech will bring positives and unintuitive solutions to negatives. #patients &amp; #MDs with… https://t.co/JLuAv51sjD,785566310658772992,Twitter for iPad,265,235,1,1,No,02/19/2014 22:44:32,Calgary,Mentor - Entrepreneur - Navigator,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/653913494962638848/aGseho9v_normal.jpg"", ""View"")",
10/10/2016 19:26:37,Alicianruiz,Alicia Ruiz,RT @LinfomasAr: Mayoría de los pacientes (86 %) con #MDS son más de 60 años y menos de 10% de los pacientes son menor de 50 #MIELODISPLASIA…,785562195916644352,Twitter for Android,148,263,2,0,No,01/07/2011 19:19:00,Gral Rodriguez,Resolución de conflictos y mediación,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/684743311920394241/EZ_J6jbV_normal.jpg"", ""View"")",
10/10/2016 19:01:33,HelpforMDS,BMTx3,Lucky enough to bag a Virgin London Marathon ballot place? Join our team + help beat #MDS,785555891009576960,Twitter for iPhone,589,1341,0,0,No,11/26/2014 21:12:13,UK,"Raising awareness of Bone Marrow Failure and #MDS - a malignant blood disorder. 3 Bone Marrow Transplants - I don't have views, I have a vision #mdsbloodcancer",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/537717018833612800/2XPDuysp_normal.jpeg"", ""View"")",
10/10/2016 19:00:16,FerreiraJamiil,Jamiil Ferreira,#Mds 😱😱😱😱😱😱 @nahcardoso @Anitta https://t.co/fcYE2Rfl38,785555564134891520,Twitter for Android,57,122,0,1,No,05/13/2016 17:17:43,,senhor no céu e os panda na terra ! é nois 🌸,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/767336363666604032/1cbS-Wa9_normal.jpg"", ""View"")",
10/10/2016 18:58:33,VictoriaPrice91,Victoria Price,RT @HelpforMDS: Found out if you have a place in the #LondonMarathon? If you have we could use your help! Help us make people #MDS aware &amp;…,785555133560217601,Twitter for iPhone,149,238,2,0,No,08/04/2010 13:01:36,Burton-on-Trent,Instagram victoria_price . A Unicorn. A Shining Star. Rainbows and Dreams.,No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/756538778462851072/pxjY3MMX_normal.jpg"", ""View"")",
10/10/2016 18:02:16,revkes,Kes Grant,RT @HelpforMDS: Found out if you have a place in the #LondonMarathon? If you have we could use your help! Help us make people #MDS aware &amp;…,785540970834165761,Twitter for iPhone,202,172,2,0,No,07/26/2012 21:28:40,,"Feminist, Priest, Iona Community Member, MDS (blood cancer) sufferer, grandmother and general stirrer and Rebel Rev who always stands up for love.",No,,,,"=HYPERLINK(""http://pbs.twimg.com/profile_images/766068936723005440/T6imL1-A_normal.jpg"", ""View"")",
